program_code_3digit,formula,bac_type
311,FG+(M+Info)/2,Mathematiques
311,FG+(M+Info)/2,Sciences Experimentales
311,FG+(M+Info)/2,Sciences Techniques
311,FG+(M+Info)/2,Economie et Gestion
312,FG+M,Mathematiques
312,FG+M,Sciences Experimentales
312,FG+(M+Ec)/2,Economie et Gestion
318,FG+M,Informatique
318,FG+M,Mathematiques
318,FG+M,Sciences Experimentales
318,FG+M,Sciences Techniques
318,FG+(M+Ge)/2,Economie et Gestion
322,FG+(M+SP)/2,Informatique
322,FG+(M+SP)/2,Mathematiques
322,FG+(M+SP)/2,Sciences Experimentales
346,FG+(A+F)/2,Lettres
346,FG+(A+F)/2,Economie et Gestion
347,FG+PH,Informatique
347,FG+HG,Lettres
347,FG+PH,Mathematiques
347,FG+PH,Sciences Experimentales
347,FG+PH,Sciences Techniques
347,FG+HG,Economie et Gestion
355,FG+(HG+PH)/2,Lettres
355,FG+(HG+PH)/2,Economie et Gestion
360,FG+Algo,Informatique
360,FG+Info,Mathematiques
360,FG+Info,Sciences Experimentales
360,FG+Info,Economie et Gestion
362,FG+(A+Ang+F)/3,Informatique
362,FG+(A+Ang+F)/3,Lettres
362,FG+(A+Ang+F)/3,Mathematiques
362,FG+(A+Ang+F)/3,Sciences Experimentales
362,FG+(A+Ang+F)/3,Sciences Techniques
362,FG+(A+Ang+F)/3,Economie et Gestion
363,FG+(A+Ang+F)/3,Informatique
363,FG+(A+Ang+F)/3,Lettres
363,FG+(A+Ang+F)/3,Mathematiques
363,FG+(A+Ang+F)/3,Sciences Experimentales
363,FG+(A+Ang+F)/3,Sciences Techniques
363,FG+(A+Ang+F)/3,Economie et Gestion
377,FG+Max((Ang-15)|0)+Max((M-12)|0),Informatique
377,FG+Max((Ang-15)|0)+Max((M-12)|0),Mathematiques
377,FG+Max((Ang-15)|0)+Max((M-12)|0),Sciences Experimentales
377,FG+Max((Ang-15)|0)+Max((M-12)|0),Sciences Techniques
377,FG+Max((Ang-15)|0)+Max((M-12)|0),Economie et Gestion
391,FG+M,Informatique
391,FG+M,Mathematiques
391,FG+M,Sciences Experimentales
391,FG+M,Sciences Techniques
